1,الفاتحة,مكية,7,5,1
2,البقرة,مدنية,286,87,2!49
3,آل عمران,مدنية,200,89,50!76
4,النساء,مدنية,176,92,77!106
5,المائدة,مدنية,120,112,106!127
6,الأنعام,مكية,165,55,128!150
7,الأعراف,مكية,206,39,151!176
8,الأنفال,مدنية,75,88,177!186
9,التوبة,مدنية,129,113,187!207
10,يونس,مكية,109,51,208!221
11,هود,مكية,123,52,221!235
12,يوسف,مكية,111,53,235!248
13,الرعد,مدنية,43,96,249!255
14,إبراهيم,مكية,52,72,255!261
15,الحجر,مكية,99,54,262!267
16,النحل,مكية,128,70,267!281
17,الإسراء,مكية,111,50,282!293
18,الكهف,مكية,110,69,293!304
19,مريم,مكية,98,44,305!312
20,طه,مكية,135,45,312!321
21,الأنبياء,مكية,112,73,322!331
22,الحج,مدنية,78,103,332!341
23,المؤمنون,مكية,118,74,342!349
24,النور,مدنية,64,102,350!359
25,الفرقان,مكية,77,42,359!366
26,الشعراء,مكية,227,47,367!376
27,النمل,مكية,93,48,377!385
28,القصص,مكية,88,49,385!396
29,العنكبوت,مكية,69,85,396!404
30,الروم,مكية,60,84,404!410
31,لقمان,مكية,34,57,411!414
32,السجدة,مكية,30,75,415!417
33,الأحزاب,مدنية,73,90,418!427
34,سبأ,مكية,54,58,428!434
35,فاطر,مكية,45,43,434!440
36,يس,مكية,83,41,440!445
37,الصافات,مكية,182,56,446!452
38,ص,مكية,88,38,453!458
39,الزمر,مكية,75,59,458!467
40,غافر,مكية,85,60,467!476
41,فصلت,مكية,54,61,477!482
42,الشورى,مكية,53,62,483!489
43,الزخرف,مكية,89,63,489!495
44,الدخان,مكية,59,64,496!498
45,الجاثية,مكية,37,65,499!502
46,الأحقاف,مكية,35,66,502!506
47,محمد,مكية,38,95,507!510
48,الفتح,مدنية,29,111,511!515
49,الحجرات,مدنية,18,106,515!517
50,ق,مكية,45,34,518!520
51,الذاريات,مكية,60,67,520!523
52,الطور,مكية,49,76,523!525
53,النجم,مكية,62,23,526!528
54,القمر,مكية,55,37,528!531
55,الرحمن,مدنية,78,97,531!534
56,الواقعة,مكية,96,46,534!537
57,الحديد,مدنية,29,94,537!541
58,المجادلة,مدنية,22,105,542!545
59,الحشر,مدنية,24,101,545!548
60,الممتحنة,مدنية,13,91,549!551
61,الصف,مدنية,14,109,551!552
62,الجمعة,مدنية,11,110,553!554
63,المنافقون,مدنية,11,104,554!555
64,التغابن,مدنية,18,108,556!557
65,الطلاق,مدنية,12,99,558!559
66,التحريم,مدنية,12,107,560!561
67,الملك,مكية,30,77,562!564
68,القلم,مكية,52,2,564!566
69,الحاقة,مكية,52,78,566!568
70,المعارج,مكية,44,79,568!570
71,نوح,مكية,28,71,570!571
72,الجن,مكية,28,40,572!573
73,المزمل,مكية,20,3,574!575
74,المدثر,مكية,56,4,575!577
75,القيامة,مكية,40,31,577!578
76,الإنسان,مدنية,31,98,578!580
77,المرسلات,مكية,50,33,580!581
78,النبأ,مكية,40,80,582!583
79,النازعات,مكية,46,81,583!584
80,عبس,مكية,42,24,585
81,التكوير,مكية,29,7,586
82,الانفطار,مكية,19,82,587
83,المطففين,مكية,36,86,587!589
84,الانشقاق,مكية,25,83,589
85,البروج,مكية,22,27,590
86,الطارق,مكية,17,36,591
87,الأعلى,مكية,19,8,591!592
88,الغاشية,مكية,26,68,592
89,الفجر,مكية,30,10,593!594
90,البلد,مكية,20,35,594
91,الشمس,مكية,15,26,595
92,الليل,مكية,21,9,595!596
93,الضحى,مكية,11,11,596
94,الشرح,مكية,8,12,596
95,التين,مكية,8,28,597
96,العلق,مكية,19,1,597
97,القدر,مكية,5,25,598
98,البينة,مدنية,8,100,598!599
99,الزلزلة,مدنية,8,93,599
100,العاديات,مكية,11,14,599!600
101,القارعة,مكية,11,30,600
102,التكاثر,مكية,8,16,600
103,العصر,مكية,3,13,601
104,الهمزة,مكية,9,32,601
105,الفيل,مكية,5,19,601
106,قريش,مكية,4,29,602
107,الماعون,مكية,7,17,602
108,الكوثر,مكية,3,15,602
109,الكافرون,مكية,6,18,603
110,النصر,مكية,3,114,603
111,المسد,مكية,5,6,603
112,الإخلاص,مكية,4,22,604
113,الفلق,مكية,5,20,604
114,الناس,مكية,6,21,604
